clave,insumo,familia,subfamilia,unidad
2231,BARRA MULTICONTACTO,Ferreteria,Varios,PIEZAS
13463,BARRA UNICANAL,Herramientas y Utiles,Barras,PIEZAS
4243,BARREDORA,Herramientas y Utiles,Accesorios,PIEZAS
16001,BARRENA,Herramientas y Utiles,Accesorios,PIEZAS
7386,BARRERA DE IMPACTO,Equipo de Seguridad,Barreras,PIEZAS
29900,BARRERA VIAL,Equipo de Seguridad,Barreras,PIEZAS
27172,BARRETA DE PUNTA,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
6884,BARRETA DE UÑA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
14105,BARRIL CPI DE ¼”,Ferreteria,Tornillos/Tuercas,PIEZAS
21776,BARRIL DE MADERA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
11568,BARRIL PQ,Gastos diversos,Audio,PIEZAS
19239,BARZO PITMAN,Herramientas y Utiles,Accesorios,PIEZAS
27745,BASCULA CLINICA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
8578,BASCULA DIGITAL,Herramientas y Utiles,Accesorios,PIEZAS
30138,BASE DE CONCRETO,Gastos diversos,Varios (Gastos Diversos),PIEZAS
30517,BASE DE DIFERENCIAL,Equipo de Transporte,Sistema Direccion,PIEZAS
32407,BASE DE GANCHO,Equipo de Transporte,Accesorios,PIEZAS
25173,BASE DE MAQUETA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
4385,BASE MUELLE,Equipo de Transporte,Sistema de Suspension,PIEZAS
32724,BASTIDOR,Gastos diversos,Varios (Gastos Diversos),PIEZAS
8390,BASTON LUMINOSO,Equipo de Transporte,Sistema de luces o iluminación,PIEZAS
10143,BASTON PALANCA VELOCIDADES,Equipo de Transporte,Sistema de Motor,PIEZAS
16083,BATANGA,Herramientas y Utiles,Accesorios,PIEZAS
3261,BATERIA ENCAPSULADA,Equipo de Computo,Accesorios de cómputo,PIEZAS
28283,BATERIA RECARGABLE,Gastos diversos,Varios (Gastos Diversos),PIEZAS
16079,BATIDORA INDUSTRIAL,Maquinaria y Equipo,Maquinaria y Equipo,PIEZAS
28301,BAUMANOMETRO,Gastos diversos,Varios (Gastos Diversos),PIEZAS
